PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),NOx (ppb),NH3 (µg/m³),hour,month,dayofweek
77.5,127.25,2.48,18.45,0.55,71.37,11.82,13.52,0,2,3
78.75,130.25,2.0,15.7,0.51,70.4,10.0,13.97,1,2,3
79.25,139.0,2.1,18.83,0.49,69.4,11.7,13.87,2,2,3
83.25,145.0,2.02,12.78,0.49,79.18,8.43,14.48,3,2,3
82.75,138.25,1.8,10.18,0.54,78.8,6.88,13.62,4,2,3
76.0,125.5,1.92,10.7,0.65,71.97,7.25,12.85,5,2,3
72.0,127.5,2.15,14.05,0.68,67.1,9.25,12.88,6,2,3
85.0,144.5,2.48,16.77,0.76,67.7,10.92,13.22,7,2,3
81.5,167.5,2.78,18.48,0.63,76.8,12.08,13.9,8,2,3
87.0,202.0,2.58,13.8,0.43,86.8,9.43,13.48,9,2,3
77.25,154.75,2.33,11.82,0.35,93.25,8.18,13.08,10,2,3
68.75,142.0,2.33,10.65,0.26,102.7,7.58,12.38,11,2,3
77.5,146.75,1.95,11.78,0.42,108.85,7.82,12.22,12,2,3
81.25,151.0,2.1,14.15,0.7,114.75,9.22,12.15,13,2,3
89.5,159.5,2.15,15.25,0.72,113.28,9.9,13.4,14,2,3
94.0,167.0,2.4,16.6,0.73,90.8,10.8,13.5,15,2,3
83.25,169.0,2.33,16.77,0.55,95.6,10.78,11.32,16,2,3
68.25,157.0,2.18,19.77,0.44,88.35,12.32,8.28,17,2,3
57.5,141.75,2.02,23.55,0.5,80.65,14.15,7.55,18,2,3
58.75,148.0,2.05,25.72,0.56,75.97,15.35,8.25,19,2,3
58.5,150.25,2.07,26.48,0.5,78.38,15.8,8.38,20,2,3
61.33,145.67,2.0,32.6,0.56,71.77,18.97,8.33,21,2,3
63.75,153.0,2.35,42.95,0.74,47.22,24.78,8.4,22,2,3
68.0,184.33,3.17,57.8,1.01,22.07,33.3,8.7,23,2,3
76.75,214.5,3.4,46.78,1.05,14.67,27.65,9.7,0,2,4
73.0,180.0,3.13,30.83,0.78,29.95,18.97,10.33,1,2,4
71.75,142.5,3.07,29.03,0.69,32.0,18.0,10.57,2,2,4
69.5,138.25,2.62,24.42,0.66,39.28,15.1,10.72,3,2,4
63.25,137.25,2.38,20.5,0.56,47.5,12.82,9.5,4,2,4
58.5,122.75,2.42,24.9,0.66,41.9,15.25,9.6,5,2,4
60.5,128.75,2.8,24.58,0.81,42.52,15.32,9.9,6,2,4
65.25,149.0,3.38,26.92,0.88,57.82,17.05,10.12,7,2,4
75.0,177.25,3.5,23.8,0.74,85.58,15.5,9.78,8,2,4
75.0,185.0,2.7,16.0,0.56,102.95,10.7,8.65,9,2,4
67.0,166.75,2.7,18.875,0.56,102.95,10.7,7.612500000000001,10,2,4
59.0,148.5,2.7,21.75,0.56,102.95,10.7,6.575,11,2,4
51.0,130.25,2.7,24.625,0.56,102.95,10.7,5.5375,12,2,4
43.0,112.0,4.0,27.5,0.77,122.0,17.9,4.5,13,2,4
42.25,111.0,1.98,13.92,0.72,138.93,9.0,11.0,14,2,4
41.0,108.0,1.8,12.78,0.73,140.35,8.22,11.85,15,2,4
44.75,116.0,1.92,14.92,0.73,138.1,9.5,12.35,16,2,4
49.5,136.0,2.17,21.5,0.62,117.3,13.23,11.85,17,2,4
60.5,160.25,2.05,22.2,0.66,102.75,13.45,11.9,18,2,4
67.0,154.25,1.78,17.6,0.56,105.42,10.82,11.32,19,2,4
56.25,121.0,1.6,20.1,0.52,102.85,11.98,12.05,20,2,4
62.0,128.75,1.65,25.68,0.6,87.72,15.0,13.72,21,2,4
70.5,136.75,2.62,30.95,0.76,61.02,18.6,14.88,22,2,4
84.75,180.25,3.22,44.8,1.08,26.5,26.42,15.62,23,2,4
97.0,234.25,2.9,31.05,0.85,48.13,18.85,14.28,0,2,5
74.25,139.5,3.23,27.53,0.66,44.87,17.27,14.27,1,2,5
76.75,138.0,2.5,23.63,0.58,57.8,14.6,15.5,2,2,5
71.5,124.25,2.58,18.8,0.6,54.52,12.08,15.02,3,2,5
68.0,114.5,2.68,19.23,0.65,49.2,12.38,14.62,4,2,5
82.25,147.0,2.9,30.42,1.02,35.9,18.55,16.75,5,2,5
112.75,198.25,3.38,33.25,0.72,43.15,20.42,16.32,6,2,5
99.25,216.75,4.03,28.4,0.76,60.53,18.35,16.02,7,2,5
90.25,212.0,3.5,26.42,0.8,92.08,16.95,15.7,8,2,5
86.75,176.5,3.22,17.73,0.49,125.3,12.05,13.6,9,2,5
54.25,131.75,2.5,12.32,0.43,139.65,8.62,11.88,10,2,5
48.25,117.75,1.72,11.72,0.4,145.35,7.62,12.15,11,2,5
46.25,109.75,1.95,12.72,0.39,155.15,8.35,13.52,12,2,5
48.75,121.5,1.85,15.05,0.71,172.62,9.5,15.68,13,2,5
56.75,133.0,2.0,15.7,0.71,179.6,10.0,17.32,14,2,5
64.75,143.0,1.82,15.48,0.72,177.25,9.72,17.35,15,2,5
62.25,147.0,1.95,17.77,0.8,161.55,11.05,17.18,16,2,5
63.0,165.25,2.48,26.5,0.82,127.2,16.1,16.15,17,2,5
94.75,218.5,2.85,58.12,1.47,68.82,33.22,15.35,18,2,5
124.25,277.5,2.22,25.25,0.81,109.1,15.22,16.52,19,2,5
82.5,172.0,1.9,17.77,0.53,126.18,10.98,15.22,20,2,5
64.25,135.0,1.82,24.08,0.76,114.25,14.3,15.65,21,2,5
75.0,156.5,2.82,46.02,1.17,52.7,26.8,17.4,22,2,5
98.0,211.25,3.58,56.25,1.06,27.65,32.85,17.38,23,2,5
102.75,230.75,5.05,56.2,0.98,12.3,34.0,17.0,0,2,6
96.5,206.0,3.77,29.3,0.68,31.57,18.67,17.47,1,2,6
87.75,166.75,3.03,29.5,0.53,35.6,18.17,17.73,2,2,6
83.75,156.0,2.6,22.78,0.48,43.52,14.25,17.73,3,2,6
85.0,149.25,2.85,21.2,0.51,39.88,13.6,17.82,4,2,6
97.0,168.25,2.6,32.45,0.84,26.6,19.35,20.38,5,2,6
115.5,197.25,3.45,30.3,0.84,27.8,18.95,20.52,6,2,6
116.5,208.25,4.25,31.5,0.74,51.52,20.2,20.35,7,2,6
113.75,218.25,3.25,27.52,0.62,106.52,17.25,20.23,8,2,6
102.25,201.5,2.7,16.27,0.35,132.93,10.9,19.02,9,2,6
76.5,147.75,2.17,12.0,0.31,154.38,8.18,17.62,10,2,6
69.0,128.25,1.9,12.7,0.24,163.07,8.3,17.12,11,2,6
68.0,127.5,1.85,12.72,0.12,171.42,8.28,18.82,12,2,6
63.75,123.5,1.68,13.65,0.42,177.05,8.65,20.5,13,2,6
59.5,123.75,1.68,13.65,0.42,182.62,8.7,22.02,14,2,6
57.5,117.75,1.88,14.02,0.41,178.8,8.98,21.2,15,2,6
58.0,116.75,1.92,15.23,0.51,168.68,9.68,20.65,16,2,6
66.5,131.0,2.25,18.3,0.41,149.4,11.58,19.25,17,2,6
78.75,153.75,2.17,22.1,0.56,135.45,13.5,18.45,18,2,6
93.75,171.0,1.9,17.95,0.55,135.1,11.1,17.65,19,2,6
92.0,163.0,2.1,22.78,0.56,114.4,13.82,16.12,20,2,6
80.75,158.25,2.0,27.7,0.73,105.92,16.32,17.25,21,2,6
81.0,159.5,2.22,27.0,0.69,99.7,16.12,17.73,22,2,6
77.5,149.75,2.58,24.88,0.7,77.15,15.3,18.3,23,2,6
88.75,157.75,2.68,23.88,1.01,78.97,14.9,19.12,0,2,0
97.5,160.75,3.38,18.8,0.94,45.6,12.75,18.4,1,2,0
90.5,151.5,3.03,18.07,0.91,47.82,12.1,19.43,2,2,0
92.75,157.25,2.92,18.2,0.9,50.82,12.05,19.92,3,2,0
92.75,156.5,2.68,18.25,0.8,57.25,11.9,19.0,4,2,0
91.25,153.25,2.28,20.6,0.97,51.4,12.82,20.1,5,2,0
102.75,163.0,2.62,20.95,0.9,68.53,13.25,20.42,6,2,0
87.75,171.25,2.3,15.42,0.84,91.35,10.1,19.52,7,2,0
85.5,150.25,2.7,21.98,1.09,97.05,13.9,19.65,8,2,0
100.0,185.0,3.6,27.4,1.07,114.95,17.48,19.75,9,2,0
98.0,209.5,2.35,22.12,0.86,158.95,13.68,18.27,10,2,0
82.25,192.5,2.3,22.7,0.78,188.62,13.95,17.18,11,2,0
79.5,171.5,1.98,24.7,0.58,188.27,14.75,18.2,12,2,0
74.0,181.25,1.75,22.22,0.61,169.25,13.25,17.77,13,2,0
60.0,138.75,2.02,18.8,0.63,157.57,11.65,17.12,14,2,0
54.0,124.75,2.28,16.25,0.65,147.6,10.48,17.05,15,2,0
54.0,126.75,1.82,18.5,0.68,142.32,11.35,16.92,16,2,0
54.0,132.0,2.2,20.08,0.56,130.07,12.42,14.7,17,2,0
54.75,122.25,1.23,25.5,0.76,111.42,14.58,12.72,18,2,0
57.25,130.75,2.15,25.22,0.82,106.58,15.15,13.12,19,2,0
56.5,118.5,2.02,17.23,0.67,101.28,10.85,14.25,20,2,0
54.0,101.25,1.9,17.62,0.9,89.45,10.9,16.73,21,2,0
64.0,107.5,2.28,18.35,1.0,82.45,11.6,18.02,22,2,0
73.75,109.5,2.25,14.85,0.82,82.08,9.72,18.92,23,2,0
66.75,104.5,3.22,19.12,0.67,41.67,12.78,18.85,0,2,1
76.75,118.75,3.03,22.1,0.59,27.33,14.2,19.6,1,2,1
104.25,134.0,3.67,29.03,0.5,36.45,18.43,20.37,2,2,1
88.0,151.75,2.8,17.82,0.43,55.15,11.75,21.42,3,2,1
82.0,132.75,2.52,17.1,0.4,53.28,11.15,21.42,4,2,1
85.0,128.25,2.55,15.42,0.46,57.92,10.3,21.95,5,2,1
86.75,132.75,3.0,17.65,0.62,52.68,11.8,21.52,6,2,1
91.0,158.25,2.9,17.58,0.62,77.22,11.7,22.6,7,2,1
89.5,168.75,2.55,13.95,0.64,89.9,9.48,22.3,8,2,1
94.75,165.0,2.82,15.23,0.57,96.83,10.4,23.82,9,2,1
90.08333333333333,166.66666666666666,2.5,17.25,0.34,96.83,11.22,26.3,10,2,1
85.41666666666667,168.33333333333334,2.5,14.8,0.11,148.2,9.9,26.3,11,2,1
80.75,170.0,2.4,14.13,0.75,144.22,9.47,20.0,12,2,1
75.25,143.0,1.85,11.42,1.15,135.42,7.58,13.82,13,2,1
60.0,129.0,2.02,13.52,1.34,129.12,8.82,12.82,14,2,1
54.75,122.0,1.78,13.85,1.28,124.72,8.82,12.95,15,2,1
47.25,110.0,1.85,17.58,1.32,115.4,10.85,14.95,16,2,1
49.75,118.25,2.33,23.12,1.43,96.02,14.18,15.4,17,2,1
59.25,146.0,2.6,36.25,1.65,72.35,21.38,15.32,18,2,1
70.5,172.5,2.38,24.78,1.67,74.1,15.1,15.5,19,2,1
72.75,147.25,2.17,14.82,1.69,73.75,9.62,17.48,20,2,1
73.5,132.5,1.82,11.1,1.68,69.53,7.35,19.65,21,2,1
70.0,123.5,1.85,9.8,1.76,65.25,6.7,20.62,22,2,1
72.5,118.75,1.68,8.65,1.72,69.65,5.98,21.0,23,2,1
69.5,106.25,1.82,6.62,1.78,71.83,5.03,20.02,0,2,2
66.25,102.25,2.07,7.03,1.86,39.63,5.43,19.67,1,2,2
70.0,106.0,2.07,12.3,1.65,55.3,8.2,18.37,2,2,2
68.5,101.0,2.2,9.32,1.65,59.32,6.75,17.65,3,2,2
64.0,93.5,1.8,5.9,1.62,81.5,4.58,16.6,4,2,2
64.5,90.25,1.68,6.42,1.64,76.22,4.78,16.58,5,2,2
67.25,91.25,1.62,5.75,1.73,82.02,4.38,17.52,6,2,2
69.5,102.5,1.82,5.68,1.74,93.32,4.5,20.55,7,2,2
75.25,105.25,1.88,6.02,1.74,104.05,4.72,21.38,8,2,2
78.75,114.25,2.17,8.55,1.74,107.32,6.32,20.65,9,2,2
77.0,129.75,2.15,10.3,1.53,125.05,7.22,20.3,10,2,2
71.0,127.75,2.02,10.22,1.34,119.45,7.08,19.9,11,2,2
61.75,114.5,1.92,11.88,1.17,111.62,7.9,20.52,12,2,2
48.75,109.5,1.6,14.98,1.16,107.88,9.28,15.3,13,2,2
39.75,85.25,1.95,15.72,1.38,107.92,9.95,12.98,14,2,2
33.5,71.5,1.82,14.45,1.31,94.35,9.2,11.38,15,2,2
28.75,66.0,1.7,14.1,1.26,83.3,8.88,10.73,16,2,2
31.75,71.75,1.82,17.22,1.46,87.45,10.62,12.22,17,2,2
45.25,106.25,2.42,21.18,1.54,79.92,13.25,11.82,18,2,2
52.5,121.75,2.2,24.15,1.77,70.28,14.62,11.68,19,2,2
57.75,116.0,2.22,25.05,1.88,64.55,15.15,12.75,20,2,2
67.5,118.75,1.9,23.25,1.85,65.5,13.92,13.72,21,2,2
63.25,109.75,2.2,19.05,1.94,64.62,11.92,14.3,22,2,2
64.75,111.25,2.32,18.55,1.96,50.02,11.75,14.95,23,2,2
67.75,107.5,2.08,12.52,1.98,51.67,8.32,16.38,0,2,3
71.0,105.25,2.13,11.67,1.98,42.03,7.93,17.4,1,2,3
75.5,118.0,2.3,11.83,1.82,64.75,8.17,17.37,2,2,3
79.5,127.25,1.8,5.58,1.76,70.62,4.4,15.7,3,2,3
73.0,102.5,1.82,6.6,1.75,70.38,5.0,14.78,4,2,3
66.5,95.5,1.72,5.92,1.77,64.15,4.55,14.72,5,2,3
67.25,104.25,1.8,8.2,1.91,55.3,5.8,15.5,6,2,3
64.75,110.0,1.9,8.28,1.9,63.55,6.0,14.72,7,2,3
65.0,98.5,2.45,12.0,1.96,61.7,8.38,17.77,8,2,3
71.5,121.0,2.58,10.5,1.86,72.35,7.68,18.7,9,2,3
68.75,131.75,2.3,9.15,1.65,93.68,6.75,17.65,10,2,3
63.75,113.5,2.05,9.8,1.53,114.42,6.9,18.15,11,2,3
59.25,108.25,1.92,11.68,1.44,123.1,7.78,18.8,12,2,3
54.0,103.25,1.92,13.2,1.37,119.95,8.57,21.05,13,2,3
45.75,95.5,2.25,14.35,1.65,110.05,9.45,18.05,14,2,3
42.75,90.25,2.0,14.12,1.71,105.5,9.12,17.5,15,2,3
45.5,103.5,1.9,14.78,1.69,91.62,9.43,15.2,16,2,3
42.5,108.0,2.02,16.75,1.65,65.18,10.55,13.22,17,2,3
39.0,94.75,2.28,22.58,1.6,51.92,13.85,11.82,18,2,3
40.5,91.25,2.02,24.62,1.73,50.92,14.75,10.7,19,2,3
38.25,85.5,2.12,20.95,1.86,56.38,12.9,11.22,20,2,3
46.0,94.5,2.08,20.55,1.86,54.75,12.62,11.95,21,2,3
52.75,90.75,2.17,23.42,2.16,35.48,14.25,12.25,22,2,3
67.0,108.75,3.05,26.3,2.1,29.7,16.48,12.6,23,2,3
73.0,123.75,2.5,18.4,1.89,39.7,11.82,13.72,0,2,4
69.5,110.25,2.07,14.33,1.87,60.83,9.3,14.87,1,2,4
68.5,112.75,2.03,11.67,1.62,65.08,7.87,15.87,2,2,4
71.25,110.0,1.95,7.45,1.64,61.95,5.52,16.9,3,2,4
74.0,110.25,2.12,8.45,1.65,51.8,6.22,16.52,4,2,4
72.5,104.5,2.42,12.02,1.72,39.62,8.4,16.73,5,2,4
78.25,124.0,2.5,16.27,1.91,44.35,10.7,16.27,6,2,4
80.5,156.0,3.15,19.52,1.98,53.18,12.95,16.5,7,2,4
84.25,176.25,2.9,16.02,1.89,77.12,10.85,17.4,8,2,4
78.25,172.0,2.78,15.65,1.82,95.98,10.6,18.12,9,2,4
71.5,146.0,2.1,11.58,1.42,113.42,7.88,17.15,10,2,4
58.25,115.25,2.02,12.85,1.19,114.98,8.52,15.38,11,2,4
51.5,106.75,1.98,13.25,1.08,119.78,8.65,13.48,12,2,4
47.25,97.0,2.0,12.68,1.11,126.7,8.35,14.0,13,2,4
51.5,101.75,1.95,13.18,1.5,137.32,8.6,12.65,14,2,4
53.5,106.0,1.9,13.75,1.29,118.42,8.85,13.55,15,2,4
55.5,122.75,1.65,18.27,1.22,111.98,11.08,14.42,16,2,4
60.25,155.5,2.1,23.88,1.53,96.22,14.42,14.92,17,2,4
72.0,154.25,2.42,19.82,1.52,93.0,12.5,15.85,18,2,4
84.0,142.0,1.95,16.45,1.5,90.22,10.35,15.98,19,2,4
85.0,136.25,2.12,17.23,1.55,87.95,10.88,17.05,20,2,4
100.25,145.0,1.75,15.7,1.57,91.45,9.8,17.95,21,2,4
107.75,146.0,1.8,13.18,1.72,86.18,8.5,21.08,22,2,4
108.75,158.0,2.2,14.15,1.77,68.68,9.3,21.28,23,2,4
113.25,155.75,2.17,16.8,1.94,48.33,10.68,20.42,0,2,5
108.0,157.25,2.2,15.97,1.96,54.97,10.27,21.83,1,2,5
111.5,150.0,2.97,21.0,1.84,39.7,13.57,21.4,2,2,5
109.5,148.5,2.78,18.4,1.83,19.42,12.02,21.08,3,2,5
105.5,153.0,2.58,16.45,1.79,15.95,10.85,19.0,4,2,5
106.5,163.25,3.92,22.35,2.12,10.72,15.1,20.08,5,2,5
153.5,257.5,21.0,40.1,2.91,8.98,38.4,27.0,6,2,5
218.0,373.25,4.6,17.75,1.91,50.85,13.2,23.7,7,2,5
121.75,205.25,2.6,12.1,1.77,81.5,8.52,23.02,8,2,5
126.75,180.25,1.9,8.6,1.64,101.12,6.12,22.42,9,2,5
103.75,140.75,1.82,8.95,1.29,110.85,6.22,21.52,10,2,5
74.5,110.25,1.72,9.6,1.07,108.12,6.5,20.4,11,2,5
65.25,101.0,1.88,10.75,0.95,114.32,7.2,19.58,12,2,5
61.75,99.5,1.95,11.2,0.86,116.85,7.5,18.12,13,2,5
55.5,95.25,1.98,12.4,0.96,114.15,8.18,16.98,14,2,5
50.75,103.0,2.12,13.35,1.18,111.1,8.8,16.7,15,2,5
63.0,125.0,1.6,12.1,1.23,94.8,7.73,17.43,16,2,5
70.75,126.0,1.75,10.72,1.22,87.55,7.12,18.58,17,2,5
72.67,134.1,1.93,12.27,1.19,80.63,8.13,16.93,18,2,5
72.0,142.2,2.03,16.77,1.31,72.9,10.57,16.73,19,2,5
82.0,150.3,2.3,22.0,1.51,60.48,13.58,19.17,20,2,5
94.75,158.4,2.3,15.02,1.42,47.95,9.88,20.32,21,2,5
94.0,166.5,1.8,14.13,1.44,47.97,8.97,21.3,22,2,5
94.25,174.6,1.75,13.62,1.58,39.45,8.68,21.55,23,2,5
100.5,182.7,2.0,13.92,2.07,30.5,9.0,22.68,0,2,6
99.25,190.8,2.5,16.3,2.12,21.03,10.7,24.3,1,2,6
103.5,198.89999999999998,2.9,21.3,1.99,21.78,13.63,23.93,2,2,6
99.25,207.0,2.48,14.68,1.87,20.23,9.82,23.05,3,2,6
90.25,171.5,2.7,13.42,1.92,16.32,9.3,21.82,4,2,6
86.0,163.5,2.58,13.65,1.88,15.45,9.4,20.92,5,2,6
79.75,151.75,2.65,13.7,1.9,15.23,9.45,19.7,6,2,6
77.75,148.5,3.65,15.68,1.97,16.65,11.3,18.98,7,2,6
73.75,140.5,3.7,15.72,1.81,40.25,11.38,19.08,8,2,6
66.25,126.0,2.08,7.52,1.34,73.08,5.7,24.72,9,2,6
42.0,79.5,1.82,7.6,1.17,78.85,5.52,31.28,10,2,6
35.75,67.5,1.9,9.1,1.0,84.52,6.38,26.02,11,2,6
34.5,65.25,1.78,10.18,0.89,89.72,6.85,21.45,12,2,6
33.5,63.75,1.85,10.22,0.89,94.0,6.95,17.92,13,2,6
34.25,64.75,1.82,9.55,1.04,90.62,6.55,16.35,14,2,6
31.75,60.0,1.92,8.55,1.24,75.25,6.1,15.5,15,2,6
30.5,58.25,1.68,7.75,1.24,69.08,5.52,16.62,16,2,6
31.25,60.25,1.75,9.02,1.25,72.02,6.25,17.2,17,2,6
39.5,75.0,2.12,13.2,1.3,59.18,8.78,14.92,18,2,6
37.25,70.75,1.95,11.68,1.27,53.5,7.8,13.22,19,2,6
48.25,91.25,1.82,8.85,1.28,48.78,6.2,12.1,20,2,6
105.0,199.25,1.9,8.93,1.29,46.28,6.3,10.95,21,2,6
40.25,76.0,1.6,9.48,1.33,41.9,6.38,11.35,22,2,6
41.0,77.25,1.6,7.42,1.45,42.25,5.25,11.35,23,2,6
38.75,73.75,1.78,6.75,1.79,40.5,5.05,11.18,0,2,0
41.25,77.5,1.83,7.73,1.79,26.93,5.6,12.03,1,2,0
42.5,81.5,2.83,16.17,1.99,15.77,10.9,14.03,2,2,0
57.25,107.75,2.5,11.22,1.93,20.2,8.0,16.2,3,2,0
53.25,101.5,2.35,10.52,1.9,17.0,7.52,15.25,4,2,0
51.5,97.25,2.45,10.3,1.88,18.75,7.5,14.08,5,2,0
51.75,97.75,2.28,12.1,1.85,23.8,8.32,13.1,6,2,0
46.5,88.5,2.8,15.8,2.02,27.82,10.65,13.18,7,2,0
52.75,100.25,2.15,8.78,1.79,49.85,6.4,12.2,8,2,0
46.75,89.5,2.17,5.72,1.67,60.7,4.82,18.15,9,2,0
42.5,80.5,2.05,5.28,1.55,71.3,4.45,26.1,10,2,0
41.25,78.0,2.22,5.92,1.42,82.88,4.97,22.52,11,2,0
43.0,79.125,2.17,6.27,1.46,85.2,5.13,20.0,12,2,0
45.0,80.25,2.13,8.23,1.58,89.68,6.1,16.4,13,2,0
37.75,77.25,1.52,6.18,1.54,94.08,4.53,17.12,14,2,0
34.0,85.0,1.18,7.32,1.54,92.12,4.88,17.2,15,2,0
33.75,75.25,1.55,7.8,1.52,76.45,5.4,19.98,16,2,0
34.0,78.0,1.7,8.32,1.54,68.95,5.8,21.98,17,2,0
38.25,82.75,2.02,9.55,1.56,58.58,6.72,19.85,18,2,0
39.25,78.0,2.05,9.48,1.55,49.9,6.7,17.58,19,2,0
41.25,72.5,2.05,11.02,1.61,45.92,7.52,15.15,20,2,0
42.5,69.0,2.28,14.7,1.68,40.42,9.7,13.82,21,2,0
44.0,78.25,1.9,15.65,1.66,34.25,9.82,13.12,22,2,0
43.75,84.5,1.78,12.2,1.66,39.0,7.93,11.65,23,2,0
41.25,76.75,1.62,7.08,1.61,43.7,5.08,10.25,0,2,1
34.75,57.5,1.57,6.8,1.59,41.0,4.9,10.5,1,2,1
31.75,62.25,1.97,6.97,1.59,43.05,5.3,14.4,2,2,1
33.25,59.75,2.38,5.35,1.56,37.28,4.75,16.15,3,2,1
33.0,60.0,2.33,7.65,1.62,24.48,5.95,14.65,4,2,1
38.5,62.5,2.45,10.18,1.68,16.8,7.4,13.7,5,2,1
42.25,77.5,5.88,20.18,1.96,10.42,15.5,13.0,6,2,1
55.0,127.25,3.38,14.12,1.83,22.62,10.25,11.0,7,2,1
39.25,94.0,3.1,9.1,1.65,31.9,7.38,10.1,8,2,1
40.25,70.5,2.42,8.12,1.62,51.22,6.25,10.75,9,2,1
39.75,77.75,1.9,7.52,1.48,78.05,5.58,25.25,10,2,1
35.75,72.75,2.3,7.6,1.28,88.43,5.92,29.22,11,2,1
34.0,73.75,2.25,8.1,1.2,101.25,6.15,22.05,12,2,1
32.5,82.0,2.1,7.75,1.27,109.55,5.82,17.12,13,2,1
37.0,78.75,1.75,8.65,1.31,115.08,6.02,15.02,14,2,1
37.25,82.0,1.42,14.65,1.56,117.1,8.93,12.2,15,2,1
39.25,98.25,1.98,13.95,1.64,99.2,9.02,13.45,16,2,1
43.25,111.0,1.88,12.38,1.68,80.8,8.12,14.5,17,2,1
57.5,125.75,2.3,15.7,1.73,68.82,10.2,16.65,18,2,1
89.75,141.25,2.35,12.12,1.57,69.9,8.35,15.58,19,2,1
49.75,97.25,1.88,10.8,1.49,77.68,7.25,14.58,20,2,1
51.25,92.0,1.83,10.3,1.51,78.12,6.98,13.95,21,2,1
49.0,92.0,1.9,11.73,1.51,69.5,7.77,13.57,22,2,1
49.67,87.0,1.6,13.0,1.58,50.57,8.23,11.67,23,2,1
44.5,87.0,2.08,11.88,1.74,41.3,7.98,10.28,0,2,2
35.25,77.0,2.3,10.77,1.7,38.2,7.6,9.87,1,2,2
31.25,68.0,2.13,11.63,1.7,34.78,7.93,11.33,2,2,2
32.75,66.5,2.12,6.58,1.63,35.17,5.2,12.4,3,2,2
26.25,56.75,2.45,7.98,1.69,27.9,6.2,12.62,4,2,2
29.25,77.5,2.25,9.3,1.78,22.35,6.78,13.02,5,2,2
36.5,89.0,3.5,13.85,1.84,18.23,10.2,12.7,6,2,2
41.75,117.25,4.35,18.38,1.94,35.28,13.28,12.28,7,2,2
58.25,175.5,3.2,16.0,1.91,55.25,11.1,11.92,8,2,2
68.25,160.0,2.72,14.9,1.76,86.4,10.15,13.32,9,2,2
50.5,120.5,2.5,15.18,1.64,113.2,10.12,21.22,10,2,2
43.5,109.75,2.2,14.88,1.5,136.95,9.7,20.52,11,2,2
44.0,109.5,2.25,13.15,1.45,137.57,8.8,16.23,12,2,2
36.5,99.5,1.72,10.65,1.46,133.72,7.1,13.65,13,2,2
33.5,93.75,1.75,11.3,1.45,123.65,7.42,12.88,14,2,2
37.25,95.5,1.23,10.92,1.59,106.82,6.82,12.12,15,2,2
35.25,103.25,1.68,11.75,1.67,90.88,7.62,10.92,16,2,2
39.25,101.5,2.15,13.38,1.74,90.38,8.8,11.25,17,2,2
39.25,103.25,1.8,18.88,1.77,85.02,11.48,11.45,18,2,2
46.0,101.25,2.22,16.1,1.63,89.32,10.4,11.88,19,2,2
41.0,92.25,1.9,10.75,1.59,88.05,7.25,11.85,20,2,2
33.75,89.5,1.98,11.02,1.59,73.03,7.42,11.6,21,2,2
29.5,76.25,1.65,9.78,1.5,68.25,6.55,10.92,22,2,2
26.0,68.5,1.4,7.18,1.5,63.75,4.97,9.65,23,2,2
19.0,63.0,1.62,6.2,1.52,62.07,4.62,9.88,0,2,3
18.67,60.67,1.55,5.9,1.52,59.1,4.4,10.25,1,2,3
18.5,64.75,1.57,6.5,1.49,53.72,4.7,10.47,2,2,3
22.0,66.75,1.95,5.32,1.48,49.6,4.45,12.05,3,2,3
28.5,68.5,2.07,4.97,1.51,45.78,4.32,11.72,4,2,3
27.0,76.75,1.82,5.55,1.56,42.38,4.47,11.15,5,2,3
29.25,80.0,2.35,6.88,1.58,40.1,5.58,10.8,6,2,3
39.25,102.25,2.6,11.82,1.69,33.08,8.43,10.4,7,2,3
46.25,126.75,2.6,11.4,1.62,54.02,8.18,9.93,8,2,3
42.5,108.0,2.02,9.02,1.6,77.35,6.45,10.65,9,2,3
38.0,104.5,2.1,9.52,1.67,84.92,6.78,16.4,10,2,3
39.25,106.75,2.28,8.88,1.44,96.68,6.55,23.32,11,2,3
42.5,109.5,2.1,9.15,1.35,110.62,6.6,20.95,12,2,3
41.25,116.0,1.98,9.07,1.38,123.58,6.42,18.52,13,2,3
42.75,133.75,1.88,8.8,1.24,112.38,6.22,16.73,14,2,3
41.75,134.5,1.55,7.8,1.39,93.92,5.42,13.75,15,2,3
32.25,119.75,1.75,8.25,1.54,86.35,5.78,12.58,16,2,3
35.75,116.5,1.42,9.02,1.5,84.5,5.95,13.45,17,2,3
31.0,103.75,1.9,8.4,1.5,74.53,6.02,13.58,18,2,3
31.25,85.0,1.92,8.57,1.42,70.65,6.12,13.6,19,2,3
29.0,70.5,1.98,6.95,1.37,67.05,5.35,12.8,20,2,3
28.75,66.25,1.75,5.55,1.36,62.08,4.4,12.5,21,2,3
28.25,70.25,1.65,4.82,1.34,53.5,3.9,12.18,22,2,3
30.0,74.5,1.38,3.9,1.33,51.38,3.2,11.1,23,2,3
33.0,85.0,1.65,3.75,1.56,45.87,3.32,10.12,0,2,4
28.5,82.25,1.53,4.63,1.55,37.6,3.73,9.87,1,2,4
24.25,82.75,1.83,8.23,1.57,32.1,5.87,10.13,2,2,4
29.5,81.0,2.15,7.1,1.62,32.1,5.52,11.85,3,2,4
33.5,79.0,2.38,7.95,1.66,22.82,6.15,12.65,4,2,4
